Northern Ill.,33,Buffalo,27
Louisville,62,Duke,22
Memphis,13,Houston,31
Southern Miss.,35,Louisiana Tech,19
Air Force,41,Nevada,39
Arizona,18,Washington St.,44
Arkansas,35,Alabama,42
Oregon,7,Utah,38
Michigan St.,7,Ohio St.,56
SMU,14,Cincinnati,48
Michigan,59,Maryland,18
Georgia Tech,0,Notre Dame,55
Oklahoma St.,23,Texas Tech,0
Wake Forest,27,Clemson,48
Baylor,20,Kansas St.,10
Vanderbilt,17,Ole Miss,31
Iowa St.,21,Oklahoma,28
BYU,34,Ga. Southern,17
Nebraska,28,Wisconsin,35
Illinois,23,Iowa,33
Virginia,38,Pittsburgh,48
San Diego St.,28,UNLV,20
Syracuse,17,NC State,41
UAB,31,UTSA,34
Kent St.,38,Akron,0
Massachusetts,17,Army West Point,33
Florida St.,26,Boston College,23
New Mexico St.,16,Kentucky,56
Purdue,32,Northwestern,14
Rutgers,0,Penn St.,28
South Fla.,14,Tulane,45
Texas,23,West Virginia,31
Fla. Atlantic,17,Western Ky.,52
Texas St.,21,Coastal Carolina,35
App State,45,Troy,7
Arkansas St.,20,Georgia St.,28
Washington,17,Colorado,20
Marshall,49,Charlotte,28
Minnesota,35,Indiana,14
Old Dominion,24,Middle Tenn.,17
East Carolina,38,Navy,35
Louisiana,42,Liberty,14
Florida,23,Missouri,24
UCLA,62,Southern California,33
Kansas,28,TCU,31
Temple,10,Tulsa,44
UConn,17,UCF,49
Rice,28,UTEP,38
North Texas,49,FIU,7
Auburn,17,South Carolina,21
California,41,Stanford,11
Virginia Tech,26,Miami (FL),38
South Alabama,14,Tennessee,60
Wyoming,44,Utah St.,17
New Mexico,0,Boise St.,37
ULM,14,LSU,27
Arizona St.,10,Oregon St.,24
Colorado St.,45,Hawaii,50
Buffalo,3,Ball St.,20
Western Mich.,42,Northern Ill.,21
Ole Miss,31,Mississippi St.,21
Fresno St.,40,San Jose St.,9
Cincinnati,35,East Carolina,13
Iowa,28,Nebraska,21
Colorado,13,Utah,28
North Carolina,30,NC State,34
Boise St.,16,San Diego St.,27
Missouri,17,Arkansas,34
Ohio,10,Bowling Green,21
Eastern Mich.,10,Central Mich.,31
Kansas St.,17,Texas,22
Utah St.,35,New Mexico,10
UTEP,25,UAB,42
UNLV,14,Air Force,48
Coastal Carolina,27,South Alabama,21
South Fla.,13,UCF,17
TCU,14,Iowa St.,48
Washington St.,40,Washington,13
Georgia,45,Georgia Tech,0
Ohio St.,27,Michigan,42
Alabama,24,Auburn,22
Notre Dame,45,Stanford,14
Oklahoma,33,Oklahoma St.,37
Texas Tech,24,Baylor,27
Oregon St.,29,Oregon,38
Penn St.,27,Michigan St.,30
BYU,35,Southern California,31
Wisconsin,13,Minnesota,23
Texas A&M,24,LSU,27
Pittsburgh,31,Syracuse,14
Wake Forest,41,Boston College,10
UTSA,23,North Texas,45
Clemson,30,South Carolina,0
Houston,45,UConn,17
Florida St.,21,Florida,24
Miami (OH),47,Kent St.,48
Army West Point,31,Liberty,16
Maryland,40,Rutgers,16
Navy,38,Temple,14
Akron,14,Toledo,49
Miami (FL),47,Duke,10
Louisiana Tech,31,Rice,35
Texas St.,24,Arkansas St.,22
Charlotte,34,Old Dominion,56
Ga. Southern,3,App State,27
Massachusetts,27,New Mexico St.,44
FIU,17,Southern Miss.,37
Hawaii,38,Wyoming,14
Northwestern,14,Illinois,47
Western Ky.,53,Marshall,21
Indiana,7,Purdue,44
Vanderbilt,21,Tennessee,45
Virginia Tech,29,Virginia,24
Arizona,15,Arizona St.,38
ULM,16,Louisiana,21
Tulsa,34,SMU,31
Middle Tenn.,27,Fla. Atlantic,17
West Virginia,34,Kansas,28
Kentucky,52,Louisville,21
Tulane,28,Memphis,33
Nevada,52,Colorado St.,10
California,14,UCLA,42
Troy,10,Georgia St.,37
